date,AMGN,AXP,CAT,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,VZ,WBA,WMT
2024-01-30,2,10,1,1,0,17,-2,1,-2,-2,5,11,-2,1,-2,7,-2,2,3,0,7,6,0,-2,0
2024-01-31,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-01,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-02,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-05,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-06,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-07,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-08,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-09,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-12,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-13,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-14,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-15,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-16,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-20,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-21,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-22,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-23,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-26,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-27,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-28,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-02-29,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-03-01,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-03-04,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-03-05,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-03-06,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-03-07,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-03-08,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-03-11,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-03-12,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-03-13,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-03-14,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-03-15,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
2024-03-18,2,10,1,1,0,17,0,1,0,0,5,11,0,1,0,7,0,2,3,0,7,6,0,0,0
