date,account_value
2023-01-03,1007899.6242103577
2023-01-04,1007799.6424919282
2023-01-05,1006973.2011789858
2023-01-06,1008711.4904145623
2023-01-09,1008095.4769038964
2023-01-10,1008964.1357335283
2023-01-11,1010604.0821473276
2023-01-12,1012027.9844435238
2023-01-13,1012938.6876316839
2023-01-17,1008243.9537094618
2023-01-18,1002967.815337037
2023-01-19,999407.5925872314
2023-01-20,1002517.1104187553
2023-01-23,1005008.6361171005
2023-01-24,1009390.5224504326
2023-01-25,1008593.6795500614
2023-01-26,1010970.579008752
2023-01-27,1009749.495158357
2023-01-30,1005757.5167510121
2023-01-31,1010988.2031559879
2023-02-01,1007070.2599113209
2023-02-02,1001371.4467784818
2023-02-03,999061.4390940107
2023-02-06,1002618.5046105245
2023-02-07,1004156.445241136
2023-02-08,1000670.6726355604
2023-02-09,993972.4882662137
2023-02-10,1000296.6978764165
2023-02-13,1006621.1678120359
2023-02-14,997962.9419760488
2023-02-15,1002914.8816689961
2023-02-16,997043.5903845188
2023-02-17,1004369.4026478932
2023-02-21,979832.3396595204
2023-02-22,976147.3121324818
2023-02-23,979250.6360403302
2023-02-24,971095.2064309933
2023-02-27,974519.3898966115
2023-02-28,969728.8723232739
2023-03-01,974269.2949774411
2023-03-02,978766.796753381
2023-03-03,988544.522524484
2023-03-06,987699.0110341886
2023-03-07,967619.6073312314
2023-03-08,967125.5862308895
2023-03-09,948903.5706371053
2023-03-10,937498.0962790921
2023-03-13,934134.0183162662
2023-03-14,937129.9131580441
2023-03-15,924630.9309544461
2023-03-16,936636.3825024655
2023-03-17,923808.8021439984
2023-03-20,937528.5955285694
2023-03-21,946768.9031919758
2023-03-22,928928.0174888432
2023-03-23,926044.0977129338
2023-03-24,929648.3347447712
2023-03-27,934123.2310052693
2023-03-28,930949.3579232838
2023-03-29,937264.0372967732
2023-03-30,942576.8806977666
2023-03-31,955086.4192509892
2023-04-03,969506.6396825955
2023-04-04,955520.2762979367
2023-04-05,959824.7602859357
2023-04-06,960220.2478996861
2023-04-10,967588.5900179112
2023-04-11,974372.1866482518
2023-04-12,972994.4420241825
2023-04-13,981484.6704553311
2023-04-14,973372.6405983135
2023-04-17,975003.9972548917
2023-04-18,975113.597526933
2023-04-19,969746.0523890469
2023-04-20,963876.6322646459
2023-04-21,962513.8734343197
2023-04-24,967291.2310019085
2023-04-25,958734.3236881401
2023-04-26,952095.4414390824
2023-04-27,965599.436915149
2023-04-28,974265.6819320291
2023-05-01,973865.9065276902
2023-05-02,964882.4217974942
2023-05-03,958363.28816628
2023-05-04,951215.6640510877
2023-05-05,966929.0165152829
2023-05-08,963872.8977789242
