date,account_value
2023-01-03,1007899.6242103577
2023-01-04,1007939.3027771491
2023-01-05,1007445.3283370855
2023-01-06,1008475.7880828739
2023-01-09,1008366.5353608738
2023-01-10,1009112.4859086489
2023-01-11,1010565.5770381963
2023-01-12,1011647.3677444188
2023-01-13,1012703.7595767095
2023-01-17,1007677.6626847263
2023-01-18,1004669.8084274173
2023-01-19,1001586.2535301395
2023-01-20,1002092.3510919529
2023-01-23,1004041.0491161
2023-01-24,1006507.5438836016
2023-01-25,1006355.8237721208
2023-01-26,1007608.7238241837
2023-01-27,1006914.0102627135
2023-01-30,1005879.8959298431
2023-01-31,1013120.8390465729
2023-02-01,1012649.9048574822
2023-02-02,1017142.2668502113
2023-02-03,1012877.711877082
2023-02-06,1013251.9952762328
2023-02-07,1014033.7785497771
2023-02-08,1010290.5037063628
2023-02-09,1003167.1208061018
2023-02-10,1005491.3245756064
2023-02-13,1011753.6421263572
2023-02-14,1006095.4756908293
2023-02-15,1009071.6504850492
2023-02-16,1004517.8034894933
2023-02-17,1004939.5318188581
2023-02-21,986193.6017974194
2023-02-22,986377.5899251928
2023-02-23,988975.4310691175
2023-02-24,985690.6254695462
2023-02-27,986317.3098664044
2023-02-28,979811.9026039266
2023-03-01,974199.459027999
2023-03-02,978140.0361963606
2023-03-03,987984.31170774
2023-03-06,987515.3226097138
2023-03-07,972491.9947180359
2023-03-08,974608.6530410112
2023-03-09,962403.8513050817
2023-03-10,955168.1757795442
2023-03-13,947045.0975285429
2023-03-14,950909.486123071
2023-03-15,941765.6192767937
2023-03-16,947254.2692964261
2023-03-17,934344.3848866913
2023-03-20,945643.4979275123
2023-03-21,953806.11346408
2023-03-22,938200.2182095253
2023-03-23,938335.4625631649
2023-03-24,938320.2693186809
2023-03-27,942307.249300523
2023-03-28,941442.8810029117
2023-03-29,950308.9240791599
2023-03-30,954088.9771470233
2023-03-31,971623.6674281207
2023-04-03,976718.2451959965
2023-04-04,967052.7310442782
2023-04-05,960956.6500238773
2023-04-06,963236.477827367
2023-04-10,969259.7676403095
2023-04-11,974470.1779162036
2023-04-12,972818.8512271396
2023-04-13,979386.0154025012
2023-04-14,980319.1978305217
2023-04-17,989150.0183457729
2023-04-18,989223.949631982
2023-04-19,996062.9718169757
2023-04-20,994825.4420611316
2023-04-21,1001003.5492145816
2023-04-24,1004620.9435051319
2023-04-25,992944.4710120441
2023-04-26,976423.2933525211
2023-04-27,997601.6496024391
2023-04-28,1008399.6972189972
2023-05-01,1005448.4502150604
2023-05-02,992922.013187419
2023-05-03,986714.731552932
2023-05-04,970486.2994667809
2023-05-05,985003.0903626014
2023-05-08,982937.9532571288
2023-05-09,983018.9150550682
2023-05-10,979135.6283571998
2023-05-11,971097.2413697349
2023-05-12,971582.8213879883
2023-05-15,972409.5201831543
2023-05-16,959957.897244857
2023-05-17,979610.0419597026
2023-05-18,984574.0080182735
2023-05-19,975599.0646025555
2023-05-22,967764.6772035877
2023-05-23,965602.5931076977
2023-05-24,953397.9307913028
2023-05-25,948910.5453477928
2023-05-26,959754.99289104
2023-05-30,958032.9788229286
2023-05-31,943520.9548996936
2023-06-01,946335.5959339363
2023-06-02,968881.6471048653
