AMGN,AXP,CAT,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,VZ,WBA,WMT
-2,-2,-2,-2,1,8,13,18,14,-2,-2,0,5,8,-2,0,0,-2,-2,11,14,0,8,0,-2
0,0,0,0,1,8,13,18,14,0,0,0,5,8,0,0,0,0,0,11,14,0,8,0,0
0,0,0,0,1,8,13,18,14,0,0,0,5,8,0,0,0,0,0,11,14,0,8,0,0
0,0,0,0,1,8,13,18,14,0,0,0,5,8,0,0,0,0,0,11,14,0,8,0,0
0,0,0,0,1,8,13,18,14,0,0,0,5,8,0,0,0,0,0,11,14,0,8,0,0
0,0,0,0,1,8,13,18,14,0,0,0,5,8,0,0,0,0,0,11,14,0,8,0,0
0,0,0,0,1,8,13,18,14,0,0,0,5,8,0,0,0,0,0,11,14,0,8,0,0
0,0,0,0,1,8,13,18,14,0,0,0,5,8,0,0,0,0,0,11,14,0,8,0,0
0,0,0,0,1,8,13,18,14,0,0,0,5,8,0,0,0,0,0,11,14,0,8,0,0
0,0,0,0,1,8,13,18,14,0,0,0,5,8,0,0,0,0,0,11,14,0,8,0,0
0,0,0,0,1,8,13,18,14,0,0,0,5,8,0,0,0,0,0,11,14,0,8,0,0
0,0,0,0,1,8,13,18,14,0,0,0,5,8,0,0,0,0,0,11,14,0,8,0,0
0,0,0,0,1,8,13,18,14,0,0,0,5,8,0,0,0,0,0,11,14,0,8,0,0
0,0,0,0,1,8,13,18,14,0,0,0,5,8,0,0,0,0,0,11,14,0,8,0,0
0,0,0,0,1,8,13,18,14,0,0,0,5,8,0,0,0,0,0,11,14,0,8,0,0
0,0,0,0,1,8,13,18,14,0,0,0,5,8,0,0,0,0,0,11,14,0,8,0,0
0,0,0,0,-1,6,10,18,11,0,0,0,3,7,0,-1,-1,0,0,6,11,-2,11,2,0
0,0,0,0,1,8,13,18,14,0,0,0,5,8,0,0,0,0,0,11,14,0,8,0,0
0,0,0,0,1,8,13,18,14,0,0,0,5,8,0,0,0,0,0,11,14,0,8,0,0
0,0,0,0,-1,6,10,18,11,0,0,0,3,7,0,-1,-1,0,0,6,11,0,11,2,0
0,0,0,0,-1,6,10,18,11,0,0,0,3,7,0,0,0,0,0,6,11,0,11,2,0
0,0,0,0,-1,6,10,18,11,0,0,0,3,7,0,0,0,0,0,6,11,0,11,2,0
0,0,0,0,-1,6,10,18,11,0,0,0,3,7,0,0,0,0,0,6,11,0,11,2,0
0,0,0,0,-1,6,10,18,11,0,0,0,3,7,0,0,0,0,0,6,11,0,11,2,0
0,0,0,0,-1,6,10,18,11,0,0,0,3,7,0,0,0,0,0,6,11,0,11,2,0
0,0,0,0,-1,6,10,18,11,0,0,0,3,7,0,0,0,0,0,6,11,0,11,2,0
0,0,0,0,-1,6,10,18,11,0,0,0,3,7,0,0,0,0,0,6,11,0,11,2,0
