date,account_value
2023-01-03,1007899.6242103577
2023-01-04,1007920.1665061777
2023-01-05,1007528.7386778926
2023-01-06,1008206.3368568096
2023-01-09,1007900.6601981866
2023-01-10,1008128.4180862824
2023-01-11,1008810.6037609517
2023-01-12,1009406.8775428731
2023-01-13,1009271.5714428022
2023-01-17,1007994.2276015376
2023-01-18,1005982.1176588287
2023-01-19,1005399.0468180311
2023-01-20,1007645.7266981754
2023-01-23,1008725.9290436286
2023-01-24,1009513.1420401954
2023-01-25,1009947.8127702979
2023-01-26,1010602.820929838
2023-01-27,1012177.2151296862
2023-01-30,1009622.6950142289
2023-01-31,1013106.1209690135
2023-02-01,1012676.0204582253
2023-02-02,1011580.9481874086
2023-02-03,1011074.1664535754
2023-02-06,1010329.6728458483
2023-02-07,1012743.4770522519
2023-02-08,1012675.0596657201
2023-02-09,1010732.4869329244
2023-02-10,1011787.4407125912
2023-02-13,1014009.0375706941
2023-02-14,1012260.9248276291
2023-02-15,1012335.5089711208
2023-02-16,1006818.3996402452
2023-02-17,1010324.696038267
2023-02-21,1002125.2962721501
2023-02-22,1001357.9723826163
2023-02-23,1002383.5608976957
2023-02-24,997598.8084172651
2023-02-27,997347.3461053048
2023-02-28,994087.3983949508
2023-03-01,994156.6131918391
2023-03-02,995249.6741066987
2023-03-03,1000507.9774596517
2023-03-06,1000940.2342449261
2023-03-07,992689.9403743244
2023-03-08,990859.7103043171
2023-03-09,982650.2151766182
2023-03-10,976580.5914904686
2023-03-13,973242.5168102299
2023-03-14,978142.5588832565
2023-03-15,975234.4779432255
2023-03-16,982656.5237809615
2023-03-17,974835.940917585
2023-03-20,981638.4890321327
2023-03-21,989453.0514287123
2023-03-22,979087.02268403
2023-03-23,978463.4773277524
2023-03-24,979296.9414238981
2023-03-27,984446.770864631
2023-03-28,977519.5660805772
2023-03-29,985331.829626981
2023-03-30,988212.6931469166
2023-03-31,996748.316656505
2023-04-03,1005123.6411543344
2023-04-04,1002381.6559600364
2023-04-05,1012684.8104577096
2023-04-06,1013002.8604671013
2023-04-10,1017000.394073356
2023-04-11,1020131.3953940555
2023-04-12,1015065.8642246869
2023-04-13,1026362.862286834
2023-04-14,1016628.7117550022
2023-04-17,1017023.9745383522
2023-04-18,1014413.2206462853
2023-04-19,1009977.9659415238
2023-04-20,1005835.9211068109
2023-04-21,1005954.9281566079
2023-04-24,1006763.1913195507
2023-04-25,999988.8144006112
2023-04-26,991952.4303911431
2023-04-27,1007928.243577205
2023-04-28,1017763.4594442094
2023-05-01,1016802.4803104546
2023-05-02,1006510.762918897
2023-05-03,1000400.7356105035
2023-05-04,989699.5546117966
2023-05-05,1006619.9282035097
2023-05-08,1008137.7520597795
2023-05-09,1004041.6437389596
2023-05-10,998981.4722554886
2023-05-11,982330.3169475339
2023-05-12,981860.5689110425
2023-05-15,982669.5445276501
2023-05-16,970627.472519006
2023-05-17,981742.635768554
2023-05-18,984783.4964764245
2023-05-19,979706.8602309449
2023-05-22,981936.4643229439
2023-05-23,972839.5263178208
2023-05-24,964974.2166328462
2023-05-25,959959.4255202592
2023-05-26,969224.1234602273
2023-05-30,968216.2510163949
2023-05-31,967513.5667928956
2023-06-01,977352.1375201676
2023-06-02,1002459.529594951
2023-06-05,997837.092087724
2023-06-06,999930.383874265
2023-06-07,1000324.1819692738
2023-06-08,1005212.9643286031
2023-06-09,1005772.6094488576
2023-06-12,1011557.7269899457
2023-06-13,1017903.3759461759
2023-06-14,1002589.9808450215
2023-06-15,1014161.3428952496
2023-06-16,1007366.0492761662
2023-06-20,1002077.5582946409
2023-06-21,999318.6805818494
2023-06-22,1001609.2019339688
2023-06-23,997325.5410584653
2023-06-26,995857.0531151135
2023-06-27,1000276.7076565259
2023-06-28,994562.2124824421
2023-06-29,1001162.3727794926
2023-06-30,1010476.4664882367
2023-07-03,1010497.2467089131
2023-07-05,1004095.9797070515
2023-07-06,992761.077081342
2023-07-07,987319.2287232106
2023-07-10,987794.9867160161
2023-07-11,998748.344834657
2023-07-12,995819.0031427015
2023-07-13,996093.4546089604
2023-07-14,1003183.7282802556
2023-07-17,1003282.7004185917
2023-07-18,1018309.9355200933
2023-07-19,1020172.6823208097
2023-07-20,1028360.723041137
2023-07-21,1024895.4393256791
2023-07-24,1026020.965124534
2023-07-25,1028715.4479557717
2023-07-26,1030470.4026342538
2023-07-27,1023713.634590049
2023-07-28,1028903.5340882753
2023-07-31,1030678.4146576189
2023-08-01,1034326.3733543599
2023-08-02,1023285.2767267602
2023-08-03,1019354.8131043523
2023-08-04,1014740.3062102082
2023-08-07,1025982.8883989594
2023-08-08,1022181.3253520005
2023-08-09,1016225.1233168385
2023-08-10,1022731.5113618023
2023-08-11,1023178.5357849095
2023-08-14,1023092.7537414487
2023-08-15,1009218.8620788091
2023-08-16,1005730.1690563901
2023-08-17,1001688.333437488
2023-08-18,1000500.3053011926
2023-08-21,995857.9014737294
2023-08-22,989054.8738438924
2023-08-23,991760.5674572805
2023-08-24,981582.7783515599
2023-08-25,987982.1263366941
2023-08-28,993412.508539388
2023-08-29,999278.0946606839
2023-08-30,998398.9019737676
2023-08-31,991459.0193369001
2023-09-01,991224.7239984067
2023-09-05,989697.461784654
2023-09-06,984009.4126807778
2023-09-07,984956.0988272394
2023-09-08,988147.2326829446
2023-09-11,995465.6598936075
2023-09-12,996922.1355080178
2023-09-13,993440.4204504617
2023-09-14,1003981.1220282395
2023-09-15,999260.2972603105
2023-09-18,996374.299566684
2023-09-19,988867.8360162538
2023-09-20,988419.4396955903
2023-09-21,981405.4526688798
2023-09-22,975154.135025432
2023-09-25,973348.4779744447
2023-09-26,963158.4468149522
2023-09-27,959965.5703885377
2023-09-28,961568.9635206636
2023-09-29,956828.6344119294
2023-10-02,955791.0396631387
2023-10-03,941056.3164084848
2023-10-04,944460.2127696432
2023-10-05,948304.7451405805
2023-10-06,958948.3122998079
2023-10-09,964816.7442909997
2023-10-10,968925.3556497834
2023-10-11,968292.3582929834
2023-10-12,962014.9124578469
2023-10-13,963682.1610506356
2023-10-16,975349.6936164697
2023-10-17,978805.4973335527
2023-10-18,964326.5624947465
2023-10-19,953483.9974634087
2023-10-20,940723.6929387982
2023-10-23,938711.761429603
2023-10-24,943042.2979985059
2023-10-25,946001.1964150098
2023-10-26,938664.897332517
2023-10-27,927572.0264721464
2023-10-30,943414.6901778578
2023-10-31,952197.0243076338
2023-11-01,956817.4407252782
2023-11-02,971874.2609942678
2023-11-03,980579.8422040952
2023-11-06,981506.1644570974
2023-11-07,982956.0580335325
2023-11-08,980857.3267808888
2023-11-09,984457.9032725575
2023-11-10,990468.9319313482
2023-11-13,991767.1717839825
2023-11-14,1003134.1854544423
2023-11-15,1016146.3759976705
2023-11-16,1021273.647110967
2023-11-17,1021976.5492573751
2023-11-20,1029143.2661880201
2023-11-21,1027561.3282608198
2023-11-22,1034773.7768332075
2023-11-24,1040735.7616519406
2023-11-27,1040254.3539814771
2023-11-28,1039094.2957711042
2023-11-29,1040480.8309810002
2023-11-30,1051468.969694238
2023-12-01,1059545.943410703
2023-12-04,1061530.4644052023
2023-12-05,1057155.782832948
2023-12-06,1052953.360675153
2023-12-07,1055980.5718151259
2023-12-08,1058230.1580392201
2023-12-11,1059866.2894017233
2023-12-12,1063183.3327461218
2023-12-13,1074714.6664284184
2023-12-14,1079566.050891168
2023-12-15,1080410.2595753681
2023-12-18,1082054.1162270673
2023-12-19,1090488.9422954877
2023-12-20,1070673.245133058
2023-12-21,1081947.443567388
2023-12-22,1083823.305471227
2023-12-26,1089132.7258939985
2023-12-27,1091562.486065427
2023-12-28,1094447.4152360547
2023-12-29,1095017.8460669033
2024-01-02,1098126.6849739584
2024-01-03,1094794.6178574269
2024-01-04,1094515.6239544386
2024-01-05,1097506.2232165884
2024-01-08,1103701.7923304304
2024-01-09,1098115.9064010251
2024-01-10,1101361.155083585
2024-01-11,1104194.343691396
2024-01-12,1108164.7990392048
2024-01-16,1112385.7245315793
2024-01-17,1105180.204936807
2024-01-18,1112340.4328767827
2024-01-19,1136522.941826383
2024-01-22,1143460.880867822
2024-01-23,1126277.7626269467
2024-01-24,1122666.8411805052
2024-01-25,1141626.59212404
2024-01-26,1149547.0771514561
2024-01-29,1155916.3296565716
2024-01-30,1159335.7579817136
2024-01-31,1142959.6696648917
2024-02-01,1155485.7450917256
2024-02-02,1160572.9080338224
2024-02-05,1150380.579005605
2024-02-06,1157296.1255304236
2024-02-07,1164911.759389646
2024-02-08,1184973.0670476162
2024-02-09,1186050.07464969
2024-02-12,1188205.6013727582
2024-02-13,1180246.1378228161
2024-02-14,1185145.1942003872
2024-02-15,1194068.1848789456
2024-02-16,1188719.6526182378
2024-02-20,1187898.985271974
2024-02-21,1182446.7592416508
2024-02-22,1196419.4679721883
2024-02-23,1197188.610317426
2024-02-26,1192882.7299101918
2024-02-27,1199172.3438313496
2024-02-28,1200010.4268230756
2024-02-29,1205909.9237797407
2024-03-01,1206524.8423574613
2024-03-04,1211009.7070148557
2024-03-05,1203153.6190262425
2024-03-06,1202692.2245620473
2024-03-07,1208168.7548285
2024-03-08,1207444.3332615828
2024-03-11,1208942.9235095456
2024-03-12,1227042.4514520047
2024-03-13,1236130.8586275342
2024-03-14,1231758.1375735868
2024-03-15,1224705.0604855588
2024-03-18,1231091.7678573697
2024-03-19,1238433.565804994
2024-03-20,1252761.5125055783
2024-03-21,1256192.7960611624
2024-03-22,1248361.4839087042
2024-03-25,1248861.968345529
2024-03-26,1246241.598081224
2024-03-27,1259775.8254637732
2024-03-28,1265420.4969961827
2024-04-01,1267575.1389705746
2024-04-02,1263474.3253331045
2024-04-03,1257693.5719496815
2024-04-04,1242270.713435842
2024-04-05,1254562.6037710623
2024-04-08,1253459.8374123662
2024-04-09,1247796.1954052746
2024-04-10,1239331.8533939603
2024-04-11,1237286.3944724135
2024-04-12,1221085.9452494597
2024-04-15,1213953.5388086485
2024-04-16,1217991.0350967955
2024-04-17,1194662.1424637616
2024-04-18,1195577.4265210165
2024-04-19,1207791.7336776555
2024-04-22,1210714.5001659673
2024-04-23,1220737.8260765318
2024-04-24,1222234.5039775555
2024-04-25,1203405.0750298628
2024-04-26,1204797.677114076
2024-04-29,1203463.8522450116
2024-04-30,1195027.0179190955
2024-05-01,1200961.1129660124
2024-05-02,1205859.002074552
2024-05-03,1212395.0225643057
2024-05-06,1226250.1297508138
2024-05-07,1205468.1777023976
2024-05-08,1210570.1855638097
2024-05-09,1215916.7485087141
2024-05-10,1220724.3569131712
2024-05-13,1219246.8948638241
2024-05-14,1222026.589229669
2024-05-15,1220482.946927377
2024-05-16,1231503.041701814
2024-05-17,1232091.3894981283
2024-05-20,1226591.0601801008
2024-05-21,1230798.6389935696
2024-05-22,1230264.512975347
2024-05-23,1210038.518323171
2024-05-24,1215413.817300359
2024-05-28,1209224.805218801
2024-05-29,1201264.5254868902
2024-05-30,1198852.2547842916
2024-05-31,1214003.3834039166
2024-06-03,1202104.2215458273
2024-06-04,1205089.8065300381
2024-06-05,1204245.077602033
2024-06-06,1205671.6143894552
2024-06-07,1214228.929876634
2024-06-10,1219227.0712525228
2024-06-11,1211547.421993688
2024-06-12,1210677.440737245
2024-06-13,1209921.4200342726
2024-06-14,1208714.9172150053
2024-06-17,1218375.221820806
2024-06-18,1219399.5527819684
2024-06-20,1228286.6424396567
2024-06-21,1229901.408733251
2024-06-24,1235934.1218343747
2024-06-25,1231038.8968097777
2024-06-26,1226377.3630555128
2024-06-27,1229308.9246835914
2024-06-28,1217094.7895036938
2024-07-01,1219458.2170682081
2024-07-02,1224887.7898426221
2024-07-03,1225639.59854223
2024-07-05,1226745.4751154417
2024-07-08,1227398.9037226194
2024-07-09,1218947.2953173155
2024-07-10,1232686.689055383
2024-07-11,1231369.4145484555
2024-07-12,1241944.6774272283
2024-07-15,1242764.0307832311
2024-07-16,1255466.6639817518
2024-07-17,1261189.9131778576
2024-07-18,1254418.3949016775
2024-07-19,1224982.6139405225
2024-07-22,1228714.87851613
2024-07-23,1228112.7440090308
2024-07-24,1216387.6544087727
2024-07-25,1220371.026893079
2024-07-26,1264885.4990552342
2024-07-29,1266425.0949403204
2024-07-30,1280399.7775376332
2024-07-31,1272138.2002627042
2024-08-01,1262466.6684398015
2024-08-02,1254080.3437436041
2024-08-05,1223815.7387949994
2024-08-06,1234153.6423245633
2024-08-07,1226151.879215463
2024-08-08,1241957.0696574796
2024-08-09,1244541.1000160002
2024-08-12,1236044.7147088407
2024-08-13,1246195.6034088263
2024-08-14,1256332.865673734
2024-08-15,1272575.9890082984
2024-08-16,1274276.8954806111
2024-08-19,1282906.818975263
2024-08-20,1283499.6701095633
2024-08-21,1288290.7044921545
2024-08-22,1280633.4401951116
2024-08-23,1292197.4319895376
2024-08-26,1301110.524167722
2024-08-27,1302804.7689388783
2024-08-28,1299485.8462108967
2024-08-29,1307483.8797817891
2024-08-30,1319910.5034588368
2024-09-03,1308369.0010394072
2024-09-04,1316164.3683221983
2024-09-05,1308681.7983105863
2024-09-06,1301140.7693416
2024-09-09,1317899.737725984
2024-09-10,1324267.490903627
2024-09-11,1322681.1762063613
2024-09-12,1335358.6946913123
2024-09-13,1351345.3906990294
2024-09-16,1367351.0997825866
2024-09-17,1364587.3860374694
2024-09-18,1361416.260007501
2024-09-19,1359864.0355964904
2024-09-20,1368162.7205787902
2024-09-23,1371399.9076362853
2024-09-24,1370115.662000299
2024-09-25,1369804.199727655
2024-09-26,1377179.0364738707
2024-09-27,1372659.7537285094
2024-09-30,1371379.5710884337
2024-10-01,1361483.6380897765
2024-10-02,1356326.0582405333
2024-10-03,1353485.9738289122
2024-10-04,1363262.7563225036
2024-10-07,1338127.3590298628
2024-10-08,1349184.3192109845
2024-10-09,1362296.8228472264
